num_env_runners,iteration,seconds_per_iter
1,1,173.90744256973267
1,2,174.71220541000366
1,3,174.84884023666382
2,1,150.09032702445984
2,2,147.1931598186493
2,3,147.8734142780304
4,1,136.4156084060669
4,2,132.6943392753601
4,3,133.9810972213745
8,1,129.8490116596222
8,2,127.1037073135376
8,3,123.77322387695312
16,1,125.19255471229553
16,2,124.51857256889343
16,3,124.0933084487915
24,1,129.3241627216339
24,2,128.6633336544037
24,3,127.72732520103455
